State,mean_ndvi,mean_precip,Year
DEBB,0.2016700745693513,40.61396766169155,1985
DEBE,0.1558188107023793,40.84,1985
DEBW,0.1964834492800554,69.84266431924883,1985
DEBY,0.2248332271830571,73.87857226107226,1985
DEHB,0.2634650412069583,56.13916666666666,1985
DEHE,0.1826084135110107,58.24926587301587,1985
DEHH,0.2132529393551741,62.98166666666666,1985
DEMV,0.1974894433879094,47.64987179487179,1985
DENI,0.2512625981335561,60.32124595469256,1985
DENW,0.1961347757408361,69.52549549549549,1985
DERP,0.1890448722781386,56.1745325203252,1985
DESH,0.2263354457057416,66.0994362745098,1985
DESL,0.1892982898226736,57.95854166666666,1985
DESN,0.2070388811457916,50.05085714285715,1985
DEST,0.1998380296203118,39.35184108527132,1985
DETH,0.1965397107253907,48.483548387096775,1985
DEBB,0.1877664025779845,52.57630597014925,1986
DEBE,0.1262784951413325,54.12166666666667,1986
DEBW,0.2036824327825499,94.96400234741785,1986
DEBY,0.2157586775846127,81.31052447552447,1986
DEHB,0.1667989304761918,54.65083333333333,1986
DEHE,0.2317479474762071,69.63513888888889,1986
DEHH,0.1456536405840314,67.3225,1986
DEMV,0.1883016307105667,51.32903846153846,1986
DENI,0.2014345748374622,65.14374595469255,1986
DENW,0.1974099544284872,80.01365990990992,1986
DERP,0.2174231358744223,71.63239837398373,1986
DESH,0.2438414074355815,68.73772058823529,1986
DESL,0.1872913655283235,86.37729166666666,1986
DESN,0.2038675226096704,65.0067619047619,1986
DEST,0.1651229032560492,51.15684108527132,1986
DETH,0.1667292224740882,61.867150537634416,1986
DEBB,0.1787965293350402,54.03936567164179,1987
DEBE,0.1346424858988937,56.3625,1987
DEBW,0.1760859072530572,87.52989436619718,1987
DEBY,0.1819455622918545,85.074662004662,1987
DEHB,0.1910343616134637,63.63,1987
DEHE,0.1575804063759598,74.2142261904762,1987
DEHH,0.1987144684227239,71.15916666666666,1987
DEMV,0.1869560350235763,53.297035256410254,1987
DENI,0.2181210305328761,68.41718446601942,1987
DENW,0.1562037170375439,81.19898648648649,1987
DERP,0.1571915244969618,74.15085365853659,1987
DESH,0.2178568922185598,69.96524509803922,1987
DESL,0.2042365685938934,79.441875,1987
DESN,0.1725786463427156,66.90797619047619,1987
DEST,0.1860117243440789,51.13970930232559,1987
DETH,0.1541511316076791,64.90943548387096,1987
DEBB,0.1757553881264148,43.24514925373134,1988
DEBE,0.1323327911746438,45.29,1988
DEBW,0.2058062424723669,95.6663145539906,1988
DEBY,0.1838958561049784,88.95005827505827,1988
DEHB,0.1630090638860872,63.406666666666666,1988
DEHE,0.1583062340450682,68.13755952380953,1988
DEHH,0.2567313896671152,70.42833333333333,1988
DEMV,0.151753932954645,48.93133012820513,1988
DENI,0.2305299322944938,68.07322006472492,1988
DENW,0.2084653495177519,81.17272522522524,1988
DERP,0.2708491098244193,72.93536585365852,1988
DESH,0.1808130131418066,75.2428431372549,1988
DESL,0.2402838572466235,82.5325,1988
DESN,0.1605030464858365,60.44242857142857,1988
DEST,0.2441921763818367,42.16990310077519,1988
DETH,0.1884000805210279,57.181720430107525,1988
DEBB,0.1981631039711992,35.32981343283582,1989
DEBE,0.1370712929926963,35.089166666666664,1989
DEBW,0.2278400587142102,65.6075469483568,1989
DEBY,0.2144777860134608,70.26854312354313,1989
DEHB,0.2182571731132321,54.28916666666667,1989
DEHE,0.2377795537445589,60.82404761904762,1989
DEHH,0.1748476768326324,56.07916666666667,1989
DEMV,0.2044611180577419,38.73415064102564,1989
DENI,0.2489443244742609,52.995728155339805,1989
DENW,0.2428329812803173,62.90300675675676,1989
DERP,0.2374373853853591,61.52884146341463,1989
DESH,0.248031176711555,57.67428921568628,1989
DESL,0.2270917371965357,67.674375,1989
DESN,0.2073400038110568,50.23721428571429,1989
DEST,0.2048772341507472,34.92567829457364,1989
DETH,0.2191819710571571,50.03838709677419,1989
DEBB,0.2278164521093028,46.965659203980096,1990
DEBE,0.1839618535705235,50.465,1990
DEBW,0.2406115009608955,79.08971830985915,1990
DEBY,0.2274266358316775,76.68808275058275,1990
DEHB,0.2082600891335088,65.77833333333334,1990
DEHE,0.2585647931850651,62.02388888888889,1990
DEHH,0.2297947932715247,74.13166666666667,1990
DEMV,0.2421184882191202,50.439375,1990
DENI,0.2603919034144815,65.78186084142395,1990
DENW,0.241461431488327,72.01282657657657,1990
DERP,0.2352826305333988,64.53408536585366,1990
DESH,0.2954056572592418,79.68026960784313,1990
DESL,0.2128449779126641,69.80416666666666,1990
DESN,0.2220780150805844,49.294714285714285,1990
DEST,0.2309763794004844,42.645271317829454,1990
DETH,0.2324031445040294,50.53623655913978,1990
DEBB,0.1929199677733761,36.04809701492537,1991
DEBE,0.1392445681918452,37.461666666666666,1991
DEBW,0.1728201043520783,62.345093896713614,1991
DEBY,0.2058568081035656,65.33780303030304,1991
DEHB,0.1827715926754096,52.77333333333333,1991
DEHE,0.2033347312301975,47.63067460317461,1991
DEHH,0.1917315221084894,60.76833333333334,1991
DEMV,0.2422508576784557,42.17459935897436,1991
DENI,0.2386651171977915,51.50416666666667,1991
DENW,0.2211632018390488,60.66979729729729,1991
DERP,0.2131407934795504,48.89676829268293,1991
DESH,0.2299765914470762,63.53700980392156,1991
DESL,0.2518359400644108,54.55770833333333,1991
DESN,0.1908105777666583,45.05033333333333,1991
DEST,0.1902955009547562,33.32906976744186,1991
DETH,0.1842650506208489,39.27096774193548,1991
DEBB,0.1742028259312043,44.7623631840796,1992
DEBE,0.1501116458945561,47.09916666666667,1992
DEBW,0.1024471216087625,80.45796948356808,1992
DEBY,0.1860233860379978,77.03585664335664,1992
DEHB,0.0381068724324616,60.97916666666666,1992
DEHE,0.1195436518912676,67.27230158730158,1992
DEHH,0.1507161907438074,61.78333333333334,1992
DEMV,0.1526152848362279,45.32455128205128,1992
DENI,0.0927788073347014,63.60760517799353,1992
DENW,0.1288640520601719,75.51143018018017,1992
DERP,0.195777783063147,63.896910569105685,1992
DESH,0.1595248603509142,62.33860294117648,1992
DESL,0.2200874937047417,70.27458333333333,1992
DESN,0.1890721415217869,54.56319047619048,1992
DEST,0.1603191871861552,49.02100775193799,1992
DETH,0.0886540079352057,57.769811827956985,1992
DEBB,0.1726381119575925,55.87121890547264,1993
DEBE,0.1832515329646886,54.415,1993
DEBW,0.1661678057723579,80.52046948356808,1993
DEBY,0.1615639936613105,81.96627039627039,1993
DEHB,0.1358840362805246,79.34916666666666,1993
DEHE,0.2224084988427794,65.48521825396826,1993
DEHH,0.1324687768320025,77.23833333333333,1993
DEMV,0.1592611342855613,60.9257532051282,1993
DENI,0.1987722531630102,76.5168284789644,1993
DENW,0.200758658280957,85.8304617117117,1993
